Difficulty,Title,Frequency,Acceptance Rate,Link,Topics,Done or not(6)
MEDIUM,Sort Colors,49.7,0.6758311358294806,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting",done
EASY,Next Greater Element I,49.7,0.7451249169659646,https://leetcode.com/problems/next-greater-element-i,"Array, Hash Table, Stack, Monotonic Stack",done
HARD,Count of Integers,49.7,0.3705763284916699,https://leetcode.com/problems/count-of-integers,"Math, String, Dynamic Programming",not done
MEDIUM,Decode Ways,49.7,0.36530968966816624,https://leetcode.com/problems/decode-ways,"String, Dynamic Programming",not done
MEDIUM,Subarray Sum Equals K,49.7,0.45476244915884195,https://leetcode.com/problems/subarray-sum-equals-k,"Array, Hash Table, Prefix Sum",not done
EASY,Count Binary Substrings,49.7,0.659166376012681,https://leetcode.com/problems/count-binary-substrings,"Two Pointers, String",not done
EASY,Subtree of Another Tree,49.7,0.49984880500038437,https://leetcode.com/problems/subtree-of-another-tree,"Tree, Depth-First Search, String Matching, Binary Tree, Hash Function",not done
MEDIUM,Reverse Words in a String,49.7,0.519133143499611,https://leetcode.com/problems/reverse-words-in-a-string,"Two Pointers, String",done
MEDIUM,House Robber,49.7,0.5230497238120853,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming",not done
MEDIUM,Longest Palindromic Substring,49.7,0.35846111810293435,https://leetcode.com/problems/longest-palindromic-substring,"Two Pointers, String, Dynamic Programming",not done
